mean 100 episode reward,steps,% time spent exploring,episodes
-1.1,77082,96,21500
-1.3,77454,96,21600
-1.2,77825,96,21700
-1.4,78226,96,21800
-1.2,78558,96,21900
-1.5,78921,96,22000
-1.6,79324,96,22100
-1.3,79666,96,22200
-1.3,80072,96,22300
-1.1,80408,96,22400
-1.2,80743,96,22500
-1.4,81125,96,22600
-1.4,81516,96,22700
-1.4,81905,95,22800
-1.5,82278,95,22900
-1.2,82617,95,23000
-1.5,82987,95,23100
-1.4,83359,95,23200
-1.3,83718,95,23300
-1.4,84103,95,23400
-1.3,84453,95,23500
-1.4,84834,95,23600
-1.2,85189,95,23700
-1.3,85550,95,23800
-1.4,85922,95,23900
-1.2,86273,95,24000
-1.2,86639,95,24100
-1.3,86990,95,24200
-1.2,87346,95,24300
-1.2,87684,95,24400
-1.1,88002,95,24500
-1.2,88334,95,24600
-1.2,88717,95,24700
-1.3,89058,95,24800
-1.4,89425,95,24900
-1.4,89795,95,25000
-1.1,90156,95,25100
-1.5,90546,95,25200
-1.4,90894,95,25300
-1.5,91275,95,25400
-1.4,91647,95,25500
-1.5,92024,95,25600
-1.2,92368,95,25700
-1.4,92769,95,25800
-1.3,93105,95,25900
-1.3,93470,95,26000
-1.4,93862,95,26100
-1.4,94241,95,26200
-1.3,94615,95,26300
-1.5,94979,95,26400
-1.3,95320,95,26500
-1.7,95742,95,26600
-1.4,96127,95,26700
-1.3,96479,95,26800
-1.1,96823,95,26900
-1.3,97190,95,27000
-1.5,97565,95,27100
-1.4,97935,95,27200
-1.4,98268,95,27300
-1.4,98634,95,27400
-1.1,98977,95,27500
-1.4,99370,95,27600
-1.3,99702,95,27700
-1.3,100082,95,27800
-1.3,100455,95,27900
-1.2,100852,95,28000
-1.2,101233,95,28100
-1.4,101590,95,28200
-1.2,101942,95,28300
-1.4,102298,94,28400
-1.3,102650,94,28500
-1.2,103003,94,28600
-1.2,103354,94,28700
-1.3,103723,94,28800
-1.2,104094,94,28900
-1.2,104437,94,29000
-1.1,104824,94,29100
-1.4,105213,94,29200
-1.2,105594,94,29300
-1.5,105943,94,29400
-1.3,106332,94,29500
-1.3,106714,94,29600
-1.6,107123,94,29700
-1.3,107487,94,29800
-1.3,107857,94,29900
-1.3,108230,94,30000
-1.2,108574,94,30100
-1.3,108955,94,30200
-1.3,109271,94,30300
-1.2,109643,94,30400
-1.4,110036,94,30500
-1.1,110393,94,30600
-1.4,110765,94,30700
-1.4,111155,94,30800
-1.2,111511,94,30900
-1.3,111841,94,31000
-1.2,112226,94,31100
-1.5,112646,94,31200
-1.3,113007,94,31300
-1.4,113379,94,31400
-1.3,113743,94,31500
-1.3,114108,94,31600
-1.2,114441,94,31700
-1.4,114819,94,31800
-1.2,115217,94,31900
-1.1,115564,94,32000
-1.2,115921,94,32100
-1.5,116302,94,32200
-1.5,116700,94,32300
-1.2,117077,94,32400
-1.3,117450,94,32500
-1.3,117825,94,32600
-1.5,118205,94,32700
-1.2,118533,94,32800
-1.3,118888,94,32900
-1.3,119231,94,33000
-1.3,119593,94,33100
-1.3,119975,94,33200
-1.3,120331,94,33300
-1.3,120686,94,33400
-1.3,121042,94,33500
-1.1,121384,94,33600
-1.3,121758,94,33700
-1.2,122087,94,33800
-1.3,122441,94,33900
-1.4,122813,93,34000
-1.4,123251,93,34100
-1.2,123574,93,34200
-1.3,123933,93,34300
-1.3,124294,93,34400
-1.5,124689,93,34500
-1.4,125076,93,34600
-1.1,125424,93,34700
-1.4,125767,93,34800
-1.4,126121,93,34900
-1.2,126474,93,35000
-1.4,126842,93,35100
-1.3,127219,93,35200
-1.4,127589,93,35300
-1.3,127967,93,35400
-1.2,128333,93,35500
-1.4,128721,93,35600
-1.4,129075,93,35700
-1.6,129444,93,35800
-1.4,129831,93,35900
-1.4,130221,93,36000
-1.2,130596,93,36100
-1.3,130947,93,36200
-1.3,131291,93,36300
-1.4,131648,93,36400
-1.3,132050,93,36500
-1.3,132415,93,36600
-1.4,132788,93,36700
-1.3,133154,93,36800
-1.3,133537,93,36900
-1.3,133909,93,37000
-1.5,134288,93,37100
-1.2,134629,93,37200
-1.4,135002,93,37300
-1.2,135336,93,37400
-1.2,135670,93,37500
-1.2,136000,93,37600
-1.3,136364,93,37700
-1.3,136728,93,37800
-1.2,137096,93,37900
