loss_pol_entpen,EpThisIter,EpLenMean,loss_kl,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,EpRewMean,loss_ent,TimeElapsed,loss_vf_loss,TimestepsSoFar
-0.014234475,50,5.12,0.043228127,-0.04156196117401123,-0.055314966,50,1.0524357866961507,1.4234475,2.246365785598755,1.0028247,256
-0.014157961,29,6.481012658227848,0.077634595,0.007044732570648193,-0.035547562,79,1.5753692341202135,1.4157962,4.221378326416016,3.6906552,512
-0.014056139,13,8.23913043478261,0.021642035,0.11453396081924438,-0.017729275,92,2.619020460563226,1.4056139,6.189442157745361,5.7434072,768
-0.013968154,12,9.91,0.017227368,0.22289574146270752,-0.015677545,104,3.7625536278495564,1.3968154,8.190344333648682,10.657263,1024
-0.013856692,9,12.06,0.0022609285,0.1894087791442871,-0.010166116,113,5.2253757004067305,1.3856692,10.219241619110107,16.498642,1280
-0.013797988,7,14.02,0.0062864246,0.358550488948822,-0.005798692,120,6.476840729359537,1.3797989,12.265011548995972,15.980718,1536
-0.0138151245,5,16.03,0.0040217666,0.368921160697937,-0.011048044,125,7.7685702842473985,1.3815125,14.536383152008057,19.29675,1792
-0.013775121,9,18.39,0.007285253,0.22545427083969116,-0.011988875,134,9.30651345398277,1.3775122,16.755569458007812,28.967884,2048
-0.013676454,8,20.78,0.0032962537,0.11015826463699341,-0.011520911,142,11.04388934224844,1.3676455,18.84473490715027,30.324955,2304
-0.01361314,4,23.0,0.0042476607,0.4190855622291565,-0.008010101,146,12.648230806589126,1.361314,21.040008544921875,25.576511,2560
-0.013550334,6,25.42,0.008113209,0.16311651468276978,-0.01911388,152,14.366639993563295,1.3550334,23.2929847240448,36.161003,2816
-0.01353365,6,27.09,0.0025533182,0.22970914840698242,-0.0070076883,158,15.871528651937842,1.3533651,25.435606718063354,34.87752,3072
-0.013478796,3,29.0,0.004571219,0.3931107521057129,-0.007275626,161,17.23121369190514,1.3478796,27.585182905197144,35.196762,3328
-0.013351918,7,31.27,0.013722053,0.27316975593566895,-0.013735777,168,18.90021545507014,1.3351918,29.5780508518219,38.876274,3584
-0.013259638,7,33.14,0.0030535543,0.10543650388717651,-0.01768722,175,20.498071868494154,1.3259639,31.60314106941223,59.780018,3840
-0.013164273,4,35.79,0.007832227,0.3199033737182617,-0.020603867,179,22.731287242993712,1.3164274,33.570317029953,46.479836,4096
-0.013124842,4,37.3,0.0043046977,0.2032243013381958,-0.017873641,183,24.101138438507913,1.3124843,35.54232716560364,48.037224,4352
-0.01310891,4,39.04,0.0065239607,0.13344663381576538,-0.0057615824,187,25.77053585328162,1.310891,37.602365493774414,63.291924,4608
-0.013100018,3,41.07,0.008644264,0.21035438776016235,-0.024662472,190,27.49890042282641,1.3100019,39.56242489814758,59.63611,4864
-0.013084035,3,42.81,0.017559644,0.3756030201911926,-0.018713383,193,29.019501808062195,1.3084036,41.473398208618164,71.77623,5120
-0.013082968,4,45.02,0.004711987,0.3948745131492615,-0.010544369,197,30.75088075108826,1.3082968,43.37833571434021,101.89111,5376
-0.0130173955,4,46.1,0.0069731306,0.2770647406578064,-0.0082516605,201,31.70669570878148,1.3017396,45.510111808776855,106.53218,5632
-0.012934966,3,48.25,0.014656939,0.4746679663658142,-0.012203899,204,33.33436354622245,1.2934966,47.542741775512695,96.47093,5888
-0.012920206,5,48.75,0.018766519,0.31955134868621826,-0.020468265,209,33.77986290499568,1.2920207,49.481043577194214,139.68098,6144
-0.012898088,3,51.1,0.005259791,0.4095003008842468,-0.015128561,212,35.73572054468095,1.2898089,51.7397084236145,82.052505,6400
-0.012847727,4,51.73,0.0017719124,0.13381153345108032,-0.008236838,216,36.485191980227825,1.2847728,53.766491174697876,109.95007,6656
-0.012745472,3,53.89,0.010013239,0.453119158744812,-0.012643745,219,38.13332050152123,1.2745472,55.70892882347107,99.504585,6912
-0.012678795,4,54.23,0.00851528,0.39796173572540283,-0.008783601,223,38.60052103228867,1.2678795,57.715800523757935,124.97859,7168
-0.012655469,6,55.16,0.0044903886,0.35816866159439087,-0.0039659133,229,39.44950597755611,1.2655469,59.83396530151367,138.56816,7424
